Instance MSU3 User-TAGS
1 102.70 100.01
2 0.00 0.00
3 44.25 3.95
4 195.71 265.20
5 255.99 80.70
6 2.16 1.52
7 7.01 4.18
8 13.67 12.76
9 241.52 65.08
10 110.13 76.42
11 1341.71 612.32
12 2.87 0.98
13 19.65 11.11
14 286.76 175.82
15 1436.04 727.54
16 3.63 1.85
17 10.21 3.03
18 0.82 0.63
19 173.99 36.37
20 24.08 10.05
21 5.71 4.24
22 118.61 114.67
23 1.90 1.86
24 12.64 4.98
25 0.54 0.17
26 261.78 59.04
27 116.17 17.21
28 0.73 0.00
29 53.76 29.32
30 14.27 8.89
31 138.85 237.45
32 9.13 4.11
33 10.13 10.43
34 62.07 30.69
35 32.93 6.81
36 35.57 14.57
37 65.02 160.35
38 0.00 0.00
39 450.91 272.19
40 57.45 37.83
41 6.91 5.47
42 11.46 6.02
43 453.27 154.38
44 7.74 0.87
45 7.20 3.00
46 390.19 778.16
47 3.36 2.44
48 99.66 49.29
49 428.68 87.89
50 219.93 33.27
51 399.19 24.11
52 48.54 3.82
53 254.79 140.72
54 172.78 98.94
55 102.09 43.51
56 1800.00 1800.00
57 1800.00 1800.00
58 109.75 24.08
59 1800.00 1800.00
60 1800.00 82.92
61 354.44 184.94
62 877.37 730.28
63 82.44 50.46
64 394.82 283.85
65 306.26 165.43
66 20.85 3.38
67 36.30 2.86
68 1800.00 1800.00
69 1800.00 1061.44
70 606.45 277.36
71 38.73 9.38
72 599.58 463.40
73 1282.64 285.64
74 172.75 42.42
75 1800.00 1800.00
76 48.22 22.41
77 74.84 38.51
78 9.43 7.39
79 1800.00 1800.00
80 369.98 55.78
81 524.74 153.84
82 1800.00 343.99
83 1800.00 411.47
84 1800.00 1634.57
85 136.35 118.05
86 1800.00 1800.00
87 400.72 182.68
88 451.33 155.33
89 1800.00 1800.00
90 1800.00 1800.00
91 1800.00 1800.00
92 1800.00 948.88
93 1800.00 1757.58
94 1800.00 946.05
95 1800.00 1800.00
96 1800.00 1800.00
97 300.43 177.71
98 1800.00 1800.00
99 1800.00 1800.00
100 1800.00 1800.00
