Instance RES User-TAGS
1 180.37 100.01
2 0.75 0.00
3 54.65 3.95
4 64.30 265.20
5 4.91 80.70
6 2.45 1.52
7 4.39 4.18
8 22.01 12.76
9 185.55 65.08
10 230.99 76.42
11 853.12 612.32
12 9.84 0.98
13 7.00 11.11
14 20.31 175.82
15 111.93 727.54
16 6.53 1.85
17 23.43 3.03
18 2.56 0.63
19 246.81 36.37
20 96.63 10.05
21 5.81 4.24
22 31.84 114.67
23 3.53 1.86
24 9.63 4.98
25 1.51 0.17
26 257.08 59.04
27 139.24 17.21
28 0.96 0.00
29 19.79 29.32
30 23.80 8.89
31 24.59 237.45
32 12.30 4.11
33 21.33 10.43
34 63.68 30.69
35 51.86 6.81
36 168.54 14.57
37 9.27 160.35
38 0.00 0.00
39 108.53 272.19
40 74.16 37.83
41 15.09 5.47
42 12.65 6.02
43 987.08 154.38
44 10.24 0.87
45 6.82 3.00
46 145.03 778.16
47 5.47 2.44
48 121.89 49.29
49 474.36 87.89
50 493.00 33.27
51 630.83 24.11
52 68.51 3.82
53 410.97 140.72
54 314.15 98.94
55 148.36 43.51
56 1661.49 1800.00
57 1800.00 1800.00
58 77.09 24.08
59 1800.00 1800.00
60 1800.00 82.92
61 341.71 184.94
62 1125.25 730.28
63 126.66 50.46
64 935.02 283.85
65 432.69 165.43
66 22.59 3.38
67 79.28 2.86
68 1800.00 1800.00
69 1800.00 1061.44
70 1003.68 277.36
71 37.01 9.38
72 1800.00 463.40
73 1800.00 285.64
74 694.93 42.42
75 1800.00 1800.00
76 40.81 22.41
77 161.12 38.51
78 19.90 7.39
79 1800.00 1800.00
80 460.81 55.78
81 676.16 153.84
82 1800.00 343.99
83 1800.00 411.47
84 1146.17 1634.57
85 292.91 118.05
86 1800.00 1800.00
87 767.81 182.68
88 571.99 155.33
89 1800.00 1800.00
90 1800.00 1800.00
91 1800.00 1800.00
92 1800.00 948.88
93 1800.00 1757.58
94 1800.00 946.05
95 1800.00 1800.00
96 1800.00 1800.00
97 791.56 177.71
98 1800.00 1800.00
99 1800.00 1800.00
100 1800.00 1800.00
